URL,SIZE(bytes),NO OF OUTLINKS,CONTENT-TYPE
https://www.theguardian.com/us-news/2015/nov/19/ohio-pro-life-senators-planned-parenthood-defund,948226,141,text/html
https://www.theguardian.com/us-news/video/2019/feb/12/donald-trump-v-beto-orourke-rival-rallies-on-us-border-security-video-report,890796,127,text/html
https://www.theguardian.com/us-news/2017/jul/22/kamala-harris-democratic-candidate-for-2020,953258,152,text/html
https://www.theguardian.com/us-news/2018/nov/09/florida-amendment-4-felons-voting-rights-response-activists,949113,147,text/html
https://www.theguardian.com/us-news/video/2018/oct/29/the-dirt-poor-will-eat-the-filthy-rich-how-a-democrat-can-win-in-trumpland-richard-ojeda-video,892979,129,text/html
https://www.theguardian.com/us-news/2016/nov/21/home-abortions-emails-secret-world,937997,130,text/html
https://www.theguardian.com/us-news/2019/feb/13/us-congress-house-yemen-war-trump-saudi-arabia,924102,133,text/html
https://www.theguardian.com/us-news/2019/feb/15/911-victims-fund-payments-cut-runs-out-of-money,919989,131,text/html
https://www.theguardian.com/us-news/us-congress/2019/feb/11/all,627122,125,text/html
https://www.theguardian.com/us-news/video/2019/feb/12/donald-trump-just-so-you-know-were-building-the-wall-anyway-video,889219,125,text/html
https://www.theguardian.com/us-news/2017/nov/03/us-election-2020-democrats-bernie-sanders-oprah-winfrey,1000791,158,text/html
https://www.theguardian.com/us-news/2018/nov/19/brenda-snipes-resigns-broward-county-supervisor-florida-recount,925936,137,text/html
https://www.theguardian.com/us-news/healthcare,704054,155,text/html
https://www.theguardian.com/us-news/live/2019/feb/14/trump-news-live-government-shutdown-deal-latest-updates-democrats-republicans-us-politics-today,1082569,234,text/html
https://www.theguardian.com/us-news/john-kasich,717874,160,text/html
https://www.theguardian.com/us-news/live/2019/feb/15/trump-national-emergency-news-live-latest-updates-border-wall-mexico-us-politics-today,1086722,269,text/html
https://www.theguardian.com/us-news/series/anywhere-but-washington/2016/oct/27/all,630831,127,text/html
https://www.theguardian.com/us-news/2018/aug/18/michael-avenatti-john-delaney-democrats-iowa-2020,927202,146,text/html
https://www.theguardian.com/us-news/us-congress/2019/feb/06/all,643155,134,text/html
https://www.theguardian.com/us-news/2016/nov/22/abortion-pregnancy-law-prosecute-trump,922684,123,text/html
https://www.theguardian.com/us-news/2018/nov/16/stacey-abrams-brian-kemp-georgia-governor,920435,138,text/html
https://www.theguardian.com/us-news/us-congress?page=3,712322,163,text/html
https://www.theguardian.com/us-news/2018/jul/13/is-tom-steyer-the-progressive-answer-to-the-koch-brothers,956021,141,text/html
https://www.theguardian.com/us-news/series/anywhere-but-washington/2016/oct/19/all,630532,126,text/html
https://www.theguardian.com/us-news/2019/feb/15/aurora-shooting-reports-illinois-news-latest-updates-lockdown,918143,130,text/html
https://www.theguardian.com/us-news/2018/oct/20/donald-trump-joe-biden-nevada-midterms,937289,151,text/html
https://www.theguardian.com/us-news/usimmigration?page=4,702926,158,text/html
https://www.theguardian.com/us-news/2018/nov/07/democratic-presidential-candidates-2020,939429,144,text/html
https://www.theguardian.com/us-news/us-congress?page=4,719042,165,text/html
https://www.theguardian.com/us-news/planned-parenthood,730514,163,text/html
https://www.theguardian.com/us-news/usimmigration?page=2,693228,151,text/html
https://www.theguardian.com/us-news/bernie-sanders,703478,153,text/html
https://www.theguardian.com/us-news/video/2016/sep/21/trump-ohio-democrats-working-class-voters-anywhere-but-washington,903908,133,text/html
https://www.theguardian.com/us-news/2019/feb/15/trump-shinzo-abe-nominated-me-nobel-peace-prize,918756,132,text/html
https://www.theguardian.com/us-news/usimmigration?page=3,724050,170,text/html
https://www.theguardian.com/us-news/washington-dc,700609,155,text/html
https://www.theguardian.com/us-news/us-congress?page=2,690700,150,text/html
https://www.theguardian.com/us-news/2018/nov/06/midterm-elections-trump-pathologies,952082,170,text/html
https://www.theguardian.com/us-news/live/2019/feb/15/trump-national-emergency-news-live-latest-updates-border-wall-mexico-us-politics-today?page=with%3Ablock-5c674b85e4b03c0232351a90,1086686,267,text/html
https://www.theguardian.com/us-news/usimmigration/2019/feb/15/all,640500,133,text/html
https://www.theguardian.com/us-news/series/anywhere-but-washington/2018/feb/26/all,628153,126,text/html
https://www.theguardian.com/us-news/2018/sep/09/cory-booker-staff-iowa-2020-white-house-run,925492,143,text/html
https://www.theguardian.com/us-news/live/2019/feb/15/trump-national-emergency-news-live-latest-updates-border-wall-mexico-us-politics-today?page=with%3Ablock-5c671fa5e4b0bdb6048fcbee,1070164,208,text/html
https://www.theguardian.com/us-news/2018/oct/26/racine-wisconsin-democrats-progressive-optimism-dashed-hopes,978677,165,text/html
https://www.theguardian.com/us-news/us-congress/2019/feb/12/all,627437,126,text/html
https://www.theguardian.com/us-news/2018/oct/22/frederick-county-chuck-jenkins-donald-trump-immigration-ice,948474,148,text/html
https://www.theguardian.com/us-news/2019/feb/12/donald-trump-border-wall-deal-shutdown,936696,138,text/html
https://www.theguardian.com/us-news/2018/nov/07/exit-polls-high-turnout-young-voter-surge-democrats,928355,142,text/html
https://www.theguardian.com/us-news/live/2019/feb/15/trump-national-emergency-news-live-latest-updates-border-wall-mexico-us-politics-today?page=with%3Ablock-5c6735cde4b022557d245cd7,1086686,267,text/html
https://www.theguardian.com/us-news/2018/nov/17/hillary-bill-clinton-speaking-tour-democrats-2020,953117,162,text/html
https://www.theguardian.com/us-news/series/anywhere-but-washington/2016/sep/29/all,630532,127,text/html
https://www.theguardian.com/us-news/2018/aug/10/bloomberg-eyes-2020-presidential-run-as-a-democrat-but-can-a-centrist-unite-the-party,927105,133,text/html
https://www.theguardian.com/us-news/live/2019/feb/15/trump-national-emergency-news-live-latest-updates-border-wall-mexico-us-politics-today?page=with%3Ablock-5c6751f3e4b03c0232351aa9,1086686,267,text/html
https://www.theguardian.com/us-news/ng-interactive/2018/sep/17/midterms-2018-candidates-odds-predictions-democrats-republicans-key-races,1027593,165,text/html
https://www.theguardian.com/us-news/2018/nov/20/new-york-city-midterm-elections-voting-failures,923041,137,text/html
https://www.theguardian.com/us-news/live/2019/feb/15/trump-national-emergency-news-live-latest-updates-border-wall-mexico-us-politics-today?page=with%3Ablock-5c67482ae4b03c0232351a70,1086687,267,text/html
https://www.theguardian.com/us-news/maryland/2018/nov/07/all,627174,127,text/html
https://www.theguardian.com/us-news/opioids,703825,157,text/html
https://www.theguardian.com/us-news/series/anywhere-but-washington/2018/oct/29/all,628516,127,text/html
https://www.theguardian.com/us-news/2018/sep/20/maryland-shooting-latest-news-harford-baltimore-rite-aid-warehouse,915911,129,text/html
https://www.theguardian.com/us-news/live/2019/feb/15/trump-national-emergency-news-live-latest-updates-border-wall-mexico-us-politics-today?page=with%3Ablock-5c671e2ae4b0bdb6048fcbe3,1070164,208,text/html
https://www.theguardian.com/us-news/2018/nov/16/the-democratic-blue-wave-was-real,933069,141,text/html
https://www.theguardian.com/us-news/us-congress/2019/feb/14/all,638715,132,text/html
https://www.theguardian.com/us-news/2018/nov/20/florida-democrats-future-midterm-elections-losses-turnout,930340,143,text/html
https://www.theguardian.com/us-news/live/2019/feb/15/trump-national-emergency-news-live-latest-updates-border-wall-mexico-us-politics-today?page=with%3Ablock-5c673c8de4b0bdb6048fccde,1086687,267,text/html
https://www.theguardian.com/us-news/maryland/2018/nov/03/all,635361,130,text/html
https://www.theguardian.com/us-news/series/anywhere-but-washington/2018/nov/02/all,628394,126,text/html
https://www.theguardian.com/us-news/2018/feb/13/meet-the-sacklers-the-family-feuding-over-blame-for-the-opioid-crisis,1039235,194,text/html
https://www.theguardian.com/us-news/live/2019/feb/15/trump-national-emergency-news-live-latest-updates-border-wall-mexico-us-politics-today?page=with%3Ablock-5c673a7de4b022557d245cf9,1086686,267,text/html
https://www.theguardian.com/us-news/video/2018/nov/02/what-are-the-us-midterms-and-why-do-they-matter-video-explainer,892640,130,text/html
https://www.theguardian.com/us-news/2017/jun/15/big-oil-classrooms-pipeline-oklahoma-education,987146,203,text/html
https://www.theguardian.com/us-news/2018/dec/11/republican-lame-duck-power-grabs-unconstitutional-experts-say,941634,152,text/html
https://www.theguardian.com/us-news/live/2019/feb/15/trump-national-emergency-news-live-latest-updates-border-wall-mexico-us-politics-today?page=with%3Ablock-5c673349e4b03c02323519f0,1086687,267,text/html
https://www.theguardian.com/us-news/donaldtrump/2019/feb/14/all,645005,135,text/html
https://www.theguardian.com/us-news/2018/nov/03/trump-emoluments-case-ruling-financial-records-tax-returns,924191,134,text/html
https://www.theguardian.com/us-news/series/anywhere-but-washington/2017/apr/17/all,629955,125,text/html
https://www.theguardian.com/us-news/2019/feb/14/andrew-mccabe-trump-comey-firing-remove-office-25th-amendment,928695,138,text/html
https://www.theguardian.com/us-news/series/opioids-in-america---the-survivors-and-the-solutions,721129,172,text/html
https://www.theguardian.com/us-news/live/2019/feb/15/trump-national-emergency-news-live-latest-updates-border-wall-mexico-us-politics-today?page=with%3Ablock-5c66bd08e4b03c0232351477,1034323,202,text/html
https://www.theguardian.com/us-news/ng-interactive/2018/sep/17/midterms-2018-vote-election-date-senate-house-who-will-win-candidates-all-you-need-to-know-explained,925307,124,text/html
https://www.theguardian.com/us-news/nebraska,730367,164,text/html
https://www.theguardian.com/us-news/2018/nov/07/democrats-win-house-creates-dam-block-trump,926747,135,text/html
https://www.theguardian.com/us-news/live/2019/feb/15/trump-national-emergency-news-live-latest-updates-border-wall-mexico-us-politics-today?page=with%3Ablock-5c66dd73e4b0bdb6048fc91f,1060349,200,text/html
https://www.theguardian.com/us-news/2018/aug/16/us-drug-overdose-deaths-opioids-fentanyl-cdc,920956,130,text/html
https://www.theguardian.com/us-news/video/2016/oct/12/west-virginia-donald-trump-supporters-mcdowell-county-poverty-video,903918,132,text/html
https://www.theguardian.com/us-news/2018/sep/08/sheriffs-donald-trump-media-scrutiny,968706,186,text/html
https://www.theguardian.com/us-news/donaldtrump/2019/feb/15/all,647902,138,text/html
https://www.theguardian.com/us-news/video/2016/sep/29/clinton-trump-colorado-us-election-anywhere-but-washington,903787,133,text/html
https://www.theguardian.com/us-news/2019/jan/15/oxycontin-purdue-pharma-massachusetts-opioid-crisis,928211,139,text/html
https://www.theguardian.com/us-news/live/2019/feb/15/trump-national-emergency-news-live-latest-updates-border-wall-mexico-us-politics-today?page=with%3Ablock-5c674c6de4b0bdb6048fcd2d,1086684,267,text/html
https://www.theguardian.com/us-news/2018/oct/30/wisconsin-republicans-trump-base-scott-walker,932109,137,text/html
https://www.theguardian.com/us-news/2019/feb/01/massachusetts-weed-legalization-fired,925964,132,text/html
https://www.theguardian.com/us-news/live/2019/feb/15/trump-national-emergency-news-live-latest-updates-border-wall-mexico-us-politics-today?page=with%3Ablock-5c66fc8ae4b0bdb6048fcade,1070164,208,text/html
https://www.theguardian.com/us-news/video/2016/oct/05/gun-control-reform-maine-hillary-clinton-nra,902994,132,text/html
https://www.theguardian.com/us-news/video/2019/feb/14/mitch-mcconnell-trump-to-sign-funding-bill-but-declare-national-emergency-video,889465,122,text/html
https://www.theguardian.com/us-news/video/2018/sep/20/maryland-shooting-multiple-wounded-and-multiple-fatalities-video-report,890123,125,text/html
https://www.theguardian.com/us-news/video/2018/nov/02/those-horrible-pink-hats-midterms-divide-women-in-era-of-metoo-video,894318,131,text/html
https://www.theguardian.com/us-news/donaldtrump?page=4,695275,152,text/html
https://www.theguardian.com/us-news/live/2019/feb/15/trump-national-emergency-news-live-latest-updates-border-wall-mexico-us-politics-today?page=with%3Ablock-5c675652e4b022557d245d90,1086677,267,text/html
https://www.theguardian.com/us-news/2018/dec/27/kevin-spacey-sexual-assault-snapchat-video,916908,133,text/html
